eps,min_pts,L,M,time_sec,clusters,noise,noise_pct,max_size,p95_size,p99_size,n_clusters_ge_1000,n_clusters_ge_5000
0.31,30,30,18,6.368160724639893,5227,0,0.0,30771,7.0,53.0,3,1
0.31,30,30,20,6.030836343765259,14149,0,0.0,2180,6.0,50.0,5,0
0.31,30,30,22,6.069669723510742,28670,0,0.0,938,1.0,20.0,0,0
0.31,30,40,18,5.918337106704712,3173,0,0.0,37910,7.0,49.0,3,1
0.31,30,40,20,6.024062395095825,10348,0,0.0,9537,7.0,51.0,4,1
0.31,30,40,22,5.575439691543579,23320,0,0.0,1377,3.0,25.0,2,0
0.31,30,50,18,6.032545566558838,1906,0,0.0,44278,7.0,52.0,1,1
0.31,30,50,20,6.094251394271851,7482,0,0.0,17900,8.0,64.1899999999996,5,1
0.31,30,50,22,6.3792884349823,20177,0,0.0,1293,4.0,31.2400000000016,2,0
0.31,30,60,18,6.1554365158081055,1165,0,0.0,46376,7.7999999999999545,69.199999999998,1,1
0.31,30,60,20,5.46554708480835,5543,0,0.0,20531,8.0,52.57999999999993,4,1
0.31,30,60,22,6.615522384643555,17710,0,0.0,2367,5.0,31.0,3,0
