score,source_file,delta,L_gb,threads,minPts,eps,stability_ari_mean,stability_nmi_mean,stability_ari_minus,stability_ari_plus,stability_nmi_minus,stability_nmi_plus,noise_frac,max_cluster_share,n_clusters,median_cluster_size,p90_cluster_size,p99_cluster_size,runtime_s,noise
0.754264477943719,srr_tuning_report2.json,0.01,4.0,24,3,0.45328140050172805,0.9422854708254205,0.9369953599466307,0.9386076355691854,0.9459633060816555,0.9338447117307752,0.9401460081624862,0.9513287950463444,0.0007692011845698242,845,2.0,5.0,15.0,3.7249462604522705,49471
0.7048636986437108,srr_tuning_report2.json,0.01,4.0,24,5,0.5777542757987976,0.886121695189095,0.8699934002212433,0.8830514857392688,0.8891919046389212,0.8657122375626065,0.8742745628798799,0.9104265220568439,0.0035960155378639285,882,3.0,9.0,42.0,5.202944040298462,47344
0.6873081110796913,srr_tuning_report2.json,0.01,4.0,24,5,0.5006817370653153,0.8699276233910913,0.8523170217276386,0.8702757443442077,0.8695795024379748,0.8532556385341202,0.851378404921157,0.9567132033383331,0.0010961116880119995,538,2.0,8.0,22.629999999999995,4.513612985610962,49751
0.6667784842597451,srr_tuning_report2.json,0.01,4.0,24,5,0.8054169267416,0.8410220827498882,0.7938208111134886,0.8492402754132394,0.8328038900865369,0.803270098022701,0.7843715242042762,0.6226298988500443,0.264643667551248,878,3.0,11.0,70.69000000000005,7.332737445831299,32378
0.6554181119668141,srr_tuning_report2.json,0.01,4.0,24,10,0.758687573671341,0.830913718845381,0.7556563592172024,0.8300504723056171,0.8317769653851448,0.7455854236341057,0.7657272948002991,0.8126610514980193,0.046402061459174644,554,3.0,15.0,117.03000000000134,7.2221763134002686,42260
0.6481460185842263,srr_tuning_report2.json,0.01,4.0,24,5,0.8322184443473816,0.8251173407973744,0.7782093739880276,0.8229493128519639,0.8272853687427848,0.7760742488775115,0.7803444990985435,0.5756124764432137,0.3452367216645514,747,3.0,10.0,43.85999999999967,7.360723257064819,29933
0.6354251387727055,srr_tuning_report2.json,0.01,4.0,24,10,0.6948555201292038,0.8158453517506276,0.7626056829812464,0.8195076692690434,0.8121830342322117,0.7659189145735784,0.7592924513889144,0.8778700819199261,0.013153340256143994,614,3.0,17.0,111.31000000000006,6.07027530670166,45651
0.6128456675951743,srr_tuning_report2.json,0.01,4.0,24,10,0.6488762623071671,0.8019006515604056,0.7502736272098942,0.7892448082177501,0.814556494903061,0.7352748615087571,0.7652723929110312,0.914426368216607,0.00871120341525326,574,3.0,14.700000000000045,60.9699999999998,6.423588991165161,47552
0.6059324798265828,srr_tuning_report5.json,0.01,3.0,24,10,0.7991400778293609,0.8060152047923219,0.7052130643542385,0.8087523018549013,0.8032781077297424,0.7108599414358207,0.6995661872726564,0.7629706549748086,0.14989808084304448,521,3.0,16.0,84.79999999999995,7.420626878738403,39676
0.6050192518312076,srr_tuning_report5.json,0.01,3.0,24,10,0.8141407799720765,0.8054696172333846,0.7069504632750117,0.7989399147737364,0.811999319693033,0.6937936458282089,0.7201072807218143,0.741471481866082,0.18737740856120919,484,3.0,14.0,92.34000000000003,6.755975008010864,38558
